'id','tgl_pencatatan','jml_lahir_pedaging_jantan','jml_lahir_pedaging_betina','jml_lahir_perah_jantan','jml_lahir_perah_betina','jml_mati_pedaging_jantan','jml_mati_pedaging_betina','jml_mati_perah_jantan','jml_mati_perah_betina','jml_mati_pedaging_anakan_jantan','jml_mati_pedaging_anakan_betina','jml_mati_perah_anakan_jantan','jml_mati_perah_anakan_betina','created_at','updated_at','deleted_at','created_by','updated_by','deleted_by','id_peternak'
1,2023-02-19,1,1,1,1,0,0,0,0,0,0,0,0,2023-02-19 16:04:22.000,2023-02-19 16:04:22.000,NULL,NULL,NULL,NULL,18
2,2023-02-19,1,1,1,1,0,0,0,0,0,0,0,0,2023-02-19 16:14:08.000,2023-02-19 16:14:08.000,NULL,NULL,NULL,NULL,17
3,2023-02-20,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-20 00:49:44.000,2023-02-20 00:49:44.000,NULL,NULL,NULL,NULL,13
4,2023-02-20,1,2,2,1,3,1,1,0,0,0,0,0,2023-02-20 00:56:22.000,2023-02-20 00:56:22.000,NULL,NULL,NULL,NULL,12
5,2023-02-20,1,1,0,0,0,0,1,0,0,0,0,0,2023-02-20 01:57:31.000,2023-02-20 01:57:31.000,NULL,NULL,NULL,NULL,10
6,2023-02-20,1,1,1,1,0,0,0,0,0,0,0,0,2023-02-20 05:40:50.000,2023-02-20 05:40:50.000,NULL,NULL,NULL,NULL,13
7,2023-02-20,1,1,1,1,0,0,0,0,0,0,0,0,2023-02-20 05:43:18.000,2023-02-20 05:43:18.000,NULL,NULL,NULL,NULL,13
8,2023-02-20,1,1,1,1,0,0,0,0,0,0,0,0,2023-02-20 05:49:32.000,2023-02-20 05:49:32.000,NULL,NULL,NULL,NULL,14
9,2023-02-20,1,1,1,1,0,0,0,0,0,0,0,0,2023-02-20 05:49:48.000,2023-02-20 05:49:48.000,NULL,NULL,NULL,NULL,14
10,2023-02-20,1,1,1,1,0,0,0,0,0,0,0,0,2023-02-20 09:18:07.000,2023-02-20 09:18:07.000,NULL,NULL,NULL,NULL,15
11,2023-02-20,1,1,1,1,0,0,0,0,0,0,0,0,2023-02-20 09:18:58.000,2023-02-20 09:18:58.000,NULL,NULL,NULL,NULL,15
12,2023-02-20,1,1,1,1,0,0,0,0,0,0,0,0,2023-02-20 09:27:37.000,2023-02-20 09:27:37.000,NULL,NULL,NULL,NULL,16
