'id','tgl_pencatatan','jenis_mitra_penerima','jml_pedaging_jantan','jml_pedaging_betina','jml_pedaging_anakan_jantan','jml_pedaging_anakan_betina','jml_perah_jantan','jml_perah_betina','jml_perah_anakan_jantan','jml_perah_anakan_betina','created_at','updated_at','deleted_at','created_by','updated_by','deleted_by','id_peternak'
1,2023-02-19,Pengepul,2,3,5,2,4,2,3,1,2023-02-19 16:07:15.000,2023-02-19 16:07:15.000,NULL,NULL,NULL,NULL,18
2,2023-02-19,Peternakan Sendiri,0,0,0,0,0,0,0,0,2023-02-19 16:15:37.000,2023-02-19 16:15:37.000,NULL,NULL,NULL,NULL,17
3,2023-02-20,Pengepul,2,2,1,0,0,0,0,1,2023-02-20 00:58:22.000,2023-02-20 00:58:22.000,NULL,NULL,NULL,NULL,12
4,2023-02-20,Peternakan Sendiri,0,0,0,0,0,0,1,0,2023-02-20 00:58:42.000,2023-02-20 00:58:42.000,NULL,NULL,NULL,NULL,12
5,2023-02-20,Peternakan Lain,0,2,0,0,0,0,0,0,2023-02-20 01:59:15.000,2023-02-20 01:59:15.000,NULL,NULL,NULL,NULL,10
6,2023-02-20,Peternakan Lain,0,0,0,0,0,0,1,1,2023-02-20 06:09:13.000,2023-02-20 06:09:13.000,NULL,NULL,NULL,NULL,13
7,2023-02-20,Pengepul,0,0,0,0,0,0,1,1,2023-02-20 06:09:26.000,2023-02-20 06:09:26.000,NULL,NULL,NULL,NULL,13
8,2023-02-20,Peternakan Sendiri,1,1,1,1,2,2,1,1,2023-02-20 09:22:56.000,2023-02-20 09:22:56.000,NULL,NULL,NULL,NULL,15
9,2023-02-20,Peternakan Lain,1,1,1,1,2,2,1,1,2023-02-20 09:23:26.000,2023-02-20 09:23:26.000,NULL,NULL,NULL,NULL,15
10,2023-02-20,Peternakan Lain,1,1,1,1,2,2,1,1,2023-02-20 09:29:13.000,2023-02-20 09:29:13.000,NULL,NULL,NULL,NULL,16
11,2023-02-21,Peternakan Sendiri,5,5,2,1,1,2,6,2,2023-02-21 15:58:34.000,2023-02-21 15:58:34.000,NULL,NULL,NULL,NULL,17
12,2023-03-15,Peternakan Sendiri,0,1,0,0,1,0,0,1,2023-03-14 17:28:29.000,2023-03-14 17:28:29.000,NULL,NULL,NULL,NULL,9
13,2023-04-16,Peternakan Sendiri,0,1,0,0,1,0,0,1,2023-03-14 17:28:29.000,2023-03-14 17:28:29.000,NULL,NULL,NULL,NULL,7
14,2023-04-18,Peternakan Sendiri,2,1,2,2,1,0,0,1,2023-03-14 17:28:29.000,2023-03-14 17:28:29.000,NULL,NULL,NULL,NULL,7
16,2023-07-04,Peternakan Sendiri,1,2,3,5,1,1,2,3,2023-07-04 10:28:42.000,2023-07-04 10:28:42.000,NULL,NULL,NULL,NULL,17
17,2023-07-04,Peternakan Sendiri,1,1,3,4,1,2,3,4,2023-07-04 15:37:34.000,2023-07-04 15:37:34.000,NULL,NULL,NULL,NULL,24
18,2023-07-18,Peternakan Sendiri,1,1,4,3,3,3,1,1,2023-07-18 15:06:58.000,2023-07-18 15:06:58.000,NULL,NULL,NULL,NULL,17
19,2023-07-18,Peternakan Sendiri,1,1,4,2,2,2,1,2,2023-07-18 15:10:50.000,2023-07-18 15:10:50.000,NULL,NULL,NULL,NULL,24
20,2023-07-21,Peternakan Sendiri,1,2,3,4,1,1,2,2,2023-07-21 14:43:04.000,2023-07-21 14:43:04.000,NULL,NULL,NULL,NULL,17
21,2023-07-29,Peternakan Sendiri,1,1,3,2,2,3,4,5,2023-07-29 11:53:56.000,2023-07-29 11:53:56.000,NULL,NULL,NULL,NULL,17
22,2023-07-29,Peternakan Sendiri,5,4,1,2,3,2,1,1,2023-07-29 11:59:36.000,2023-07-29 11:59:36.000,NULL,NULL,NULL,NULL,24
