'id';'tgl_distribusi';'jumlah';'satuan';'harga_berlaku';'created_at';'updated_at';'deleted_at';'created_by';'updated_by';'deleted_by';'id_unit_ternak';'id_jenis_produk';'id_mitra_bisnis'
1;2023-02-18;2.00;ekor;1500000;2023-02-19 16:10:33.000;2023-02-19 16:10:33.000;;;;;12;1;21
2;2023-02-19;15.00;kg;100000;2023-02-19 16:11:05.000;2023-02-19 16:11:05.000;;;;;12;2;21
3;2023-02-18;2.00;ekor;1500000;2023-02-20 00:42:16.000;2023-02-20 00:42:16.000;;;;;15;1;13
4;2023-02-19;2.00;ekor;1500000;2023-02-20 00:42:41.000;2023-02-20 00:42:41.000;;;;;15;1;13
5;2023-02-18;10.00;kg;100000;2023-02-20 00:43:43.000;2023-02-20 00:43:43.000;;;;;15;2;14
6;2023-02-19;10.00;kg;100000;2023-02-20 00:44:14.000;2023-02-20 00:44:14.000;;;;;15;2;14
7;2023-02-18;10.00;kg;100000;2023-02-20 00:50:19.000;2023-02-20 00:50:19.000;;;;;15;2;13
8;2023-02-19;10.00;kg;100000;2023-02-20 00:50:54.000;2023-02-20 00:50:54.000;;;;;15;2;13
9;2023-02-18;2.00;ekor;1500000;2023-02-20 00:51:21.000;2023-02-20 00:51:21.000;;;;;15;1;14
10;2023-02-19;2.00;ekor;1500000;2023-02-20 00:51:59.000;2023-02-20 00:51:59.000;;;;;15;1;14
11;2023-02-20;5.00;kg;100000;2023-02-20 01:17:11.000;2023-02-20 01:17:11.000;;;;;4;1;12
12;2023-02-18;1.00;ekor;1500000;2023-02-20 01:56:15.000;2023-02-20 01:56:15.000;;;;;14;1;18
13;2023-02-19;1.00;ekor;1500000;2023-02-20 01:57:35.000;2023-02-20 01:57:35.000;;;;;14;1;18
14;2023-02-19;5.00;kg;100000;2023-02-20 01:58:39.000;2023-02-20 01:58:39.000;;;;;14;2;19
15;2023-02-19;5.00;kg;100000;2023-02-20 01:59:04.000;2023-02-20 01:59:04.000;;;;;14;2;19
16;2023-02-21;2.00;ekor;1500000;2023-02-21 15:51:29.000;2023-02-21 15:51:29.000;;;;;12;1;21
17;2023-02-20;15.00;kg;100000;2023-02-21 15:52:17.000;2023-02-21 15:52:17.000;;;;;12;2;21
18;2023-03-29;1.00;ekor;30000;2023-03-28 22:47:30.000;2023-03-28 22:47:30.000;;;;;1;1;7
19;2023-04-04;2.00;ekor;120000;2023-04-03 22:05:57.000;2023-04-03 22:05:57.000;;;;;4;1;8
20;2023-05-07;5.00;kg;150000;2023-05-07 03:03:34.000;2023-05-07 03:03:34.000;;;;;4;1;12
21;2023-05-31;20.00;ekor;3000;2023-05-31 03:10:55.000;2023-05-31 03:10:55.000;;4;;;1;2;7
22;2023-06-10;2.00;ekor;2000000;2023-06-10 06:47:09.000;2023-06-10 06:47:09.000;;10;;;5;2;11
23;2023-07-04;2.00;ekor;1500000;2023-07-04 10:24:48.000;2023-07-04 10:24:48.000;;14;;;12;1;20
24;2023-07-04;15.00;kg;100000;2023-07-04 10:25:10.000;2023-07-04 10:25:10.000;;14;;;12;2;21
25;2023-07-04;1.00;ekor;1000000;2023-07-04 15:35:21.000;2023-07-04 15:35:21.000;;9;;;4;1;8
26;2023-07-07;5.00;ekor;1500000;2023-07-07 13:47:20.000;2023-07-07 13:47:20.000;;14;;;12;1;20
27;2023-07-07;15.00;kg;100000;2023-07-07 13:52:24.000;2023-07-07 13:52:24.000;;14;;;12;2;21
28;2023-07-07;15.00;kg;100000;2023-07-07 14:08:10.000;2023-07-07 14:08:10.000;;9;;;4;2;12
29;2023-07-18;1.00;ekor;1000000;2023-07-18 15:04:47.000;2023-07-18 15:04:47.000;;14;;;12;1;20
30;2023-07-18;10.00;kg;100000;2023-07-18 15:05:11.000;2023-07-18 15:05:11.000;;14;;;12;2;21
31;2023-07-18;5.00;kg;120000;2023-07-18 15:09:25.000;2023-07-18 15:09:25.000;;9;;;4;2;8
32;2023-07-21;1.00;ekor;1000000;2023-07-21 14:40:56.000;2023-07-21 14:40:56.000;;14;;;12;1;21
33;2023-07-21;10.00;kg;50000;2023-07-21 14:41:19.000;2023-07-21 14:41:19.000;;14;;;12;2;20
34;2023-07-25;2.00;ekor;1500000;2023-07-29 11:51:43.000;2023-07-29 11:51:43.000;;14;;;12;1;20
35;2023-07-25;5.00;kg;50000;2023-07-29 11:52:06.000;2023-07-29 11:52:06.000;;14;;;12;2;21
36;2023-07-28;2.00;kg;25000;2023-07-29 11:52:21.000;2023-07-29 11:52:21.000;;14;;;12;2;20
37;2023-07-28;1.00;ekor;1000000;2023-07-29 11:52:41.000;2023-07-29 11:52:41.000;;14;;;12;1;21
38;2023-07-25;1.00;ekor;1000000;2023-07-29 11:57:21.000;2023-07-29 11:57:21.000;;9;;;4;1;8
39;2023-07-25;2.00;ekor;1500000;2023-07-29 11:57:40.000;2023-07-29 11:57:40.000;;9;;;4;1;12
40;2023-07-28;15.00;kg;50000;2023-07-29 11:58:01.000;2023-07-29 11:58:01.000;;9;;;4;2;8
41;2023-07-28;5.00;kg;25000;2023-07-29 11:58:29.000;2023-07-29 11:58:29.000;;9;;;4;2;12
42;2023-08-01;2.00;ekor;1500000;2023-08-04 12:40:43.000;2023-08-04 12:40:43.000;;14;;;12;1;20
43;2023-08-01;1.00;ekor;1000000;2023-08-04 12:41:03.000;2023-08-04 12:41:03.000;;14;;;12;1;21
44;2023-08-04;15.00;kg;50000;2023-08-04 12:41:22.000;2023-08-04 12:41:22.000;;14;;;12;2;20
45;2023-08-04;10.00;kg;35000;2023-08-04 12:41:46.000;2023-08-04 12:41:46.000;;14;;;12;2;21
46;2023-08-01;1.00;ekor;1000000;2023-08-04 12:46:46.000;2023-08-04 12:46:46.000;;9;;;4;1;8
47;2023-08-01;2.00;ekor;1500000;2023-08-04 12:47:04.000;2023-08-04 12:47:04.000;;9;;;4;1;12
48;2023-08-04;25.00;kg;100000;2023-08-04 12:47:37.000;2023-08-04 12:47:37.000;;9;;;4;2;8
49;2023-08-04;15.00;kg;50000;2023-08-04 12:47:51.000;2023-08-04 12:47:51.000;;9;;;4;2;8
50;2023-08-08;1.00;ekor;1200000;2023-08-12 11:47:05.000;2023-08-12 11:47:05.000;;14;;;12;1;20
51;2023-08-08;25.00;kg;100000;2023-08-12 11:47:24.000;2023-08-12 11:47:24.000;;14;;;12;2;21
52;2023-08-11;2.00;ekor;1500000;2023-08-12 11:47:38.000;2023-08-12 11:47:38.000;;14;;;12;1;21
53;2023-08-11;15.00;kg;25000;2023-08-12 11:48:00.000;2023-08-12 11:48:00.000;;14;;;12;2;20
54;2023-08-08;2.00;ekor;1500000;2023-08-12 11:56:40.000;2023-08-12 11:56:40.000;;9;;;4;1;8
55;2023-08-08;3.00;ekor;2000000;2023-08-12 11:56:58.000;2023-08-12 11:56:58.000;;9;;;4;1;12
56;2023-08-11;25.00;kg;150000;2023-08-12 11:57:42.000;2023-08-12 11:57:42.000;;9;;;4;2;8
57;2023-08-11;25.00;kg;100000;2023-08-12 11:58:09.000;2023-08-12 11:58:09.000;;9;;;4;2;12
58;2023-08-15;1.00;ekor;1200000;2023-08-19 11:27:22.000;2023-08-19 11:27:22.000;;14;;;12;1;20
59;2023-08-15;15.00;kg;100000;2023-08-19 11:27:38.000;2023-08-19 11:27:38.000;;14;;;12;2;21
60;2023-08-18;2.00;ekor;1800000;2023-08-19 11:27:55.000;2023-08-19 11:27:55.000;;14;;;12;1;21
61;2023-08-18;20.00;kg;150000;2023-08-19 11:28:11.000;2023-08-19 11:28:11.000;;14;;;12;2;20
62;2023-08-15;2.00;ekor;1700000;2023-08-19 11:33:35.000;2023-08-19 11:33:35.000;;9;;;4;1;8
63;2023-08-15;25.00;kg;150000;2023-08-19 11:33:56.000;2023-08-19 11:33:56.000;;9;;;4;2;12
64;2023-08-18;1.00;ekor;950000;2023-08-19 11:34:12.000;2023-08-19 11:34:12.000;;9;;;4;1;12
65;2023-08-18;15.00;kg;100000;2023-08-19 11:34:34.000;2023-08-19 11:34:34.000;;9;;;4;2;8
66;2023-08-22;2.00;ekor;1500000;2023-08-26 12:14:18.000;2023-08-26 12:14:18.000;;14;;;12;1;20
67;2023-08-22;15.00;kg;75000;2023-08-26 12:14:47.000;2023-08-26 12:14:47.000;;14;;;12;1;21
68;2023-08-25;3.00;ekor;1750000;2023-08-26 12:15:11.000;2023-08-26 12:15:11.000;;14;;;12;1;21
69;2023-08-25;20.00;kg;100000;2023-08-26 12:15:29.000;2023-08-26 12:15:29.000;;14;;;12;2;20
70;2023-08-22;1.00;ekor;1000000;2023-08-26 12:21:37.000;2023-08-26 12:21:37.000;;9;;;4;1;8
71;2023-08-22;25.00;kg;150000;2023-08-26 12:22:04.000;2023-08-26 12:22:04.000;;9;;;4;2;12
72;2023-08-25;2.00;ekor;1700000;2023-08-26 12:22:23.000;2023-08-26 12:22:23.000;;9;;;4;1;12
73;2023-08-25;25.00;kg;150000;2023-08-26 12:22:42.000;2023-08-26 12:22:42.000;;9;;;4;2;8
74;2023-08-29;1.00;ekor;1200000;2023-09-02 14:00:35.000;2023-09-02 14:00:35.000;;14;;;12;1;20
75;2023-08-29;15.00;kg;50000;2023-09-02 14:00:54.000;2023-09-02 14:00:54.000;;14;;;12;2;21
76;2023-09-01;2.00;ekor;1750000;2023-09-02 14:01:09.000;2023-09-02 14:01:09.000;;14;;;12;1;21
77;2023-09-01;20.00;kg;75000;2023-09-02 14:01:24.000;2023-09-02 14:01:24.000;;14;;;12;2;20
78;2023-08-02;1.00;ekor;1000000;2023-09-02 14:05:14.000;2023-09-02 14:05:14.000;;9;;;4;1;8
79;2023-08-29;25.00;kg;150000;2023-09-02 14:05:49.000;2023-09-02 14:05:49.000;;9;;;4;2;12
80;2023-09-01;2.00;ekor;1650000;2023-09-02 14:06:05.000;2023-09-02 14:06:05.000;;9;;;4;1;12
81;2023-09-01;15.00;kg;75000;2023-09-02 14:06:21.000;2023-09-02 14:06:21.000;;9;;;4;2;8
82;2023-09-05;1.00;ekor;750000;2023-09-09 12:14:42.000;2023-09-09 12:14:42.000;;14;;;12;1;20
83;2023-09-05;20.00;kg;150000;2023-09-09 12:17:37.000;2023-09-09 12:17:37.000;;14;;;12;2;21
84;2023-09-08;2.00;ekor;1500000;2023-09-09 12:17:52.000;2023-09-09 12:17:52.000;;14;;;12;1;21
85;2023-09-08;15.00;kg;125000;2023-09-09 12:18:11.000;2023-09-09 12:18:11.000;;14;;;12;2;20
86;2023-09-05;1.00;ekor;750000;2023-09-09 13:06:59.000;2023-09-09 13:06:59.000;;9;;;4;1;8
87;2023-09-05;15.00;kg;75000;2023-09-09 13:07:45.000;2023-09-09 13:07:45.000;;9;;;4;2;12
88;2023-09-08;2.00;ekor;1250000;2023-09-09 13:07:59.000;2023-09-09 13:07:59.000;;9;;;4;1;12
89;2023-09-08;25.00;kg;150000;2023-09-09 13:08:16.000;2023-09-09 13:08:16.000;;9;;;4;2;8
90;2023-09-12;1.00;ekor;1200000;2023-09-16 11:21:20.000;2023-09-16 11:21:20.000;;14;;;12;1;20
91;2023-09-12;20.00;kg;200000;2023-09-16 11:21:37.000;2023-09-16 11:21:37.000;;14;;;12;2;21
92;2023-09-15;2.00;ekor;1850000;2023-09-16 11:21:48.000;2023-09-16 11:21:48.000;;14;;;12;1;21
93;2023-09-15;15.00;kg;150000;2023-09-16 11:22:05.000;2023-09-16 11:22:05.000;;14;;;12;2;20
94;2023-09-12;1.00;ekor;1000000;2023-09-16 11:28:22.000;2023-09-16 11:28:22.000;;9;;;4;1;8
95;2023-09-12;15.00;kg;150000;2023-09-16 11:28:38.000;2023-09-16 11:28:38.000;;9;;;4;2;12
96;2023-09-12;2.00;ekor;1500000;2023-09-16 11:28:55.000;2023-09-16 11:28:55.000;;9;;;4;1;12
97;2023-09-15;20.00;kg;200000;2023-09-16 11:29:13.000;2023-09-16 11:29:13.000;;9;;;4;2;8
98;2023-09-19;2.00;ekor;1750000;2023-09-23 14:12:24.000;2023-09-23 14:12:24.000;;14;;;12;1;20
99;2023-09-19;25.00;kg;150000;2023-09-23 14:12:39.000;2023-09-23 14:12:39.000;;14;;;12;2;21
100;2023-09-22;1.00;ekor;1200000;2023-09-23 14:12:54.000;2023-09-23 14:12:54.000;;14;;;12;1;21
101;2023-09-22;35.00;kg;185000;2023-09-23 14:13:15.000;2023-09-23 14:13:15.000;;14;;;12;2;20
102;2023-09-19;1.00;ekor;1100000;2023-09-23 14:18:54.000;2023-09-23 14:18:54.000;;9;;;4;1;8
103;2023-09-19;15.00;kg;120000;2023-09-23 14:19:10.000;2023-09-23 14:19:10.000;;9;;;4;2;12
104;2023-09-22;2.00;ekor;2100000;2023-09-23 14:19:28.000;2023-09-23 14:19:28.000;;9;;;4;1;12
105;2023-09-22;20.00;kg;150000;2023-09-23 14:19:43.000;2023-09-23 14:19:43.000;;9;;;4;2;8
106;2023-09-26;2.00;ekor;1500000;2023-09-30 08:47:45.000;2023-09-30 08:47:45.000;;14;;;12;1;20
107;2023-09-26;15.00;kg;150000;2023-09-30 08:48:46.000;2023-09-30 08:48:46.000;;14;;;12;2;21
108;2023-09-29;25.00;kg;170000;2023-09-30 08:49:32.000;2023-09-30 08:49:32.000;;14;;;12;1;21
109;2023-09-29;1.00;ekor;1000000;2023-09-30 08:49:59.000;2023-09-30 08:49:59.000;;14;;;12;1;20
110;2023-09-29;1.00;ekor;1000000;2023-09-30 09:15:12.000;2023-09-30 09:15:12.000;;9;;;4;1;8
111;2023-09-29;15.00;kg;75000;2023-09-30 09:15:40.000;2023-09-30 09:15:40.000;;9;;;4;2;12
112;2023-09-26;2.00;ekor;1200000;2023-09-30 09:15:56.000;2023-09-30 09:15:56.000;;9;;;4;1;12
113;2023-09-26;28.00;kg;85000;2023-09-30 09:16:12.000;2023-09-30 09:16:12.000;;9;;;4;2;8
114;2023-10-03;1.00;ekor;950000;2023-10-07 16:59:03.000;2023-10-07 16:59:03.000;;14;;;12;1;20
115;2023-10-03;15.00;kg;100000;2023-10-07 16:59:38.000;2023-10-07 16:59:38.000;;14;;;12;2;21
116;2023-10-06;2.00;ekor;1500000;2023-10-07 16:59:54.000;2023-10-07 16:59:54.000;;14;;;12;1;21
117;2023-10-06;20.00;kg;120000;2023-10-07 17:00:37.000;2023-10-07 17:00:37.000;;14;;;12;2;20
118;2023-10-03;2.00;ekor;1350000;2023-10-07 17:05:43.000;2023-10-07 17:05:43.000;;9;;;4;1;8
119;2023-10-03;25.00;kg;150000;2023-10-07 17:06:02.000;2023-10-07 17:06:02.000;;9;;;4;2;12
