'id';'tgl_pencatatan';'jenis_mitra_pengirim';'jml_pedaging_jantan';'jml_pedaging_betina';'jml_pedaging_anakan_jantan';'jml_pedaging_anakan_betina';'jml_perah_jantan';'jml_perah_betina';'jml_perah_anakan_jantan';'jml_perah_anakan_betina';'created_at';'updated_at';'deleted_at';'created_by';'updated_by';'deleted_by';'id_peternak'
1;2023-02-19;Pengepul;2;1;3;2;5;1;4;1;2023-02-19 16:06:26.000;2023-02-19 16:06:26.000;;;;;18
2;2023-02-19;Peternakan Sendiri;0;0;0;0;0;0;0;0;2023-02-19 16:15:03.000;2023-02-19 16:15:03.000;;;;;17
3;2023-02-20;Pengepul;1;0;1;0;0;1;1;2;2023-02-20 00:57:09.000;2023-02-20 00:57:09.000;;;;;12
4;2023-02-20;Peternakan Sendiri;2;3;1;0;2;2;0;1;2023-02-20 00:57:34.000;2023-02-20 00:57:34.000;;;;;12
5;2023-02-20;Peternakan Sendiri;0;0;2;0;0;0;0;2;2023-02-20 01:58:16.000;2023-02-20 01:58:16.000;;;;;10
6;2023-02-20;Pengepul;2;3;1;0;0;0;4;5;2023-02-20 06:07:57.000;2023-02-20 06:07:57.000;;;;;13
7;2023-02-20;Peternakan Lain;2;3;0;0;4;3;1;2;2023-02-20 06:08:28.000;2023-02-20 06:08:28.000;;;;;13
8;2023-02-20;Peternakan Sendiri;1;1;1;1;2;2;1;1;2023-02-20 09:21:13.000;2023-02-20 09:21:13.000;;;;;15
9;2023-02-20;Peternakan Lain;1;1;2;2;1;1;1;1;2023-02-20 09:21:52.000;2023-02-20 09:21:52.000;;;;;15
10;2023-02-20;Peternakan Lain;1;1;1;1;2;2;1;1;2023-02-20 09:28:36.000;2023-02-20 09:28:36.000;;;;;16
11;2023-02-21;Peternakan Sendiri;2;1;5;1;1;1;1;3;2023-02-21 15:57:51.000;2023-02-21 15:57:51.000;;;;;17
12;2023-03-15;Peternakan Sendiri;2;2;0;1;1;3;0;1;2023-03-14 17:24:19.000;2023-03-14 17:24:19.000;;;;;9
13;2023-04-15;Peternakan Sendiri;2;2;0;1;1;3;0;1;2023-03-14 17:24:19.000;2023-03-14 17:24:19.000;;;;;7
15;2023-06-15;Peternakan Sendiri;0;15;0;0;0;0;0;0;2023-06-14 17:20:50.000;2023-06-14 17:20:50.000;;;;;35
16;2023-07-04;Peternakan Sendiri;1;3;5;4;2;3;1;1;2023-07-04 10:28:11.000;2023-07-04 10:28:11.000;;;;;17
17;2023-07-04;Peternakan Sendiri;1;2;3;5;1;1;2;1;2023-07-04 15:37:10.000;2023-07-04 15:37:10.000;;;;;24
18;2023-07-18;Peternakan Sendiri;2;1;5;4;1;3;3;3;2023-07-18 15:06:40.000;2023-07-18 15:06:40.000;;;;;17
19;2023-07-18;Peternakan Sendiri;5;1;3;4;4;3;1;1;2023-07-18 15:10:30.000;2023-07-18 15:10:30.000;;;;;24
20;2023-07-21;Peternakan Sendiri;1;1;2;1;2;4;3;1;2023-07-21 14:42:43.000;2023-07-21 14:42:43.000;;;;;17
21;2023-07-29;Peternakan Sendiri;1;2;3;3;1;4;2;2;2023-07-29 11:53:39.000;2023-07-29 11:53:39.000;;;;;17
22;2023-07-29;Peternakan Sendiri;5;4;1;3;1;2;2;4;2023-07-29 11:59:19.000;2023-07-29 11:59:19.000;;;;;24
