'id';'tgl_produksi';'jumlah';'satuan';'sumber_pasokan';'created_at';'updated_at';'deleted_at';'created_by';'updated_by';'deleted_by';'id_unit_ternak';'id_jenis_produk'
1;2023-02-19;15.00;liter;Peternakan Lain;2023-02-19 15:28:47.000;2023-02-19 15:28:47.000;;;;;9;3
2;2023-02-18;5.00;liter;Peternakan Sendiri;2023-02-19 15:29:07.000;2023-02-19 15:29:07.000;;;;;9;5
3;2023-02-20;15.00;liter;Peternakan Sendiri;2023-02-20 01:14:49.000;2023-02-20 01:14:49.000;;;;;4;3
4;2023-02-20;7.00;liter;Peternakan Lain;2023-02-20 01:15:10.000;2023-02-20 01:15:10.000;;;;;4;4
5;2023-02-20;5.00;kg;Pengepul;2023-02-20 01:15:26.000;2023-02-20 01:15:26.000;;;;;4;7
6;2023-02-26;10.00;liter;Peternakan Lain;2023-02-26 05:44:46.000;2023-02-26 05:44:46.000;;;;;5;3
7;2023-03-02;9.00;liter;Pengepul;2023-03-01 18:16:43.000;2023-03-01 18:16:43.000;;;;;5;3
8;2023-03-02;5.00;liter;Peternakan Sendiri;2023-03-02 12:33:15.000;2023-03-02 12:33:15.000;;;;;4;3
9;2023-03-02;5.00;liter;Peternakan Sendiri;2023-03-02 12:33:58.000;2023-03-02 12:33:58.000;;;;;4;4
10;2023-03-29;1.00;liter;Peternakan Sendiri;2023-03-28 22:46:01.000;2023-03-28 22:46:01.000;;;;;1;3
11;2023-04-04;2.00;kg;Peternakan Sendiri;2023-04-03 22:04:08.000;2023-04-03 22:04:08.000;;;;;4;6
12;2023-05-07;10.00;liter;Peternakan Sendiri;2023-05-07 03:00:48.000;2023-05-07 03:00:48.000;;;;;4;3
13;2023-05-31;10.00;liter;Peternakan Sendiri;2023-05-31 03:05:50.000;2023-05-31 03:05:50.000;;;;;1;3
14;2023-06-10;5.00;liter;Pengepul;2023-06-10 09:22:27.000;2023-06-10 09:22:27.000;;;;;5;3
15;2023-06-11;12.00;liter;Peternakan Sendiri;2023-06-11 10:09:41.000;2023-06-11 10:09:41.000;;;;;4;4
16;2023-06-12;5.00;liter;Peternakan Sendiri;2023-06-12 05:13:38.000;2023-06-12 05:13:38.000;;;;;20;3
17;2023-06-12;200.00;liter;Peternakan Sendiri;2023-06-12 05:13:40.000;2023-06-12 05:13:40.000;;;;;18;3
18;2023-06-14;12.00;liter;Peternakan Sendiri;2023-06-14 02:20:51.000;2023-06-14 02:20:51.000;;;;;5;3
19;2023-06-13;10.00;liter;Peternakan Sendiri;2023-06-14 04:49:44.000;2023-06-14 04:49:44.000;;;;;32;3
20;2023-06-15;90.00;liter;Peternakan Sendiri;2023-06-14 17:22:14.000;2023-06-14 17:22:14.000;;;;;35;3
21;2023-06-15;188.00;liter;Peternakan Lain;2023-06-14 17:26:39.000;2023-06-14 17:26:39.000;;;;;35;3
22;2023-06-15;114.00;liter;Peternakan Sendiri;2023-06-14 17:28:05.000;2023-06-14 17:28:05.000;;;;;35;3
23;2023-06-15;3.00;liter;Peternakan Sendiri;2023-06-15 04:17:54.000;2023-06-15 04:17:54.000;;;;;34;3
24;2023-06-16;180.00;liter;Peternakan Sendiri;2023-06-16 11:40:29.000;2023-06-16 11:40:29.000;;;;;37;3
25;2023-06-15;9.00;liter;Peternakan Sendiri;2023-06-16 15:08:20.000;2023-06-16 15:08:20.000;;;;;32;3
26;2023-06-16;11.40;kg;Peternakan Sendiri;2023-06-23 11:07:18.000;2023-06-23 11:07:18.000;;;;;18;3
27;2023-06-17;9.00;liter;Peternakan Sendiri;2023-06-25 11:22:38.000;2023-06-25 11:22:38.000;;;;;32;3
28;2023-06-18;9.00;liter;Peternakan Sendiri;2023-06-25 11:23:06.000;2023-06-25 11:23:06.000;;;;;32;3
29;2023-06-19;10.00;liter;Peternakan Sendiri;2023-06-25 11:23:26.000;2023-06-25 11:23:26.000;;;;;32;3
30;2023-06-25;10.00;liter;Peternakan Sendiri;2023-06-25 12:20:07.000;2023-06-25 12:20:07.000;;;;;32;3
31;2023-06-26;10.00;liter;Peternakan Sendiri;2023-06-30 02:46:03.000;2023-06-30 02:46:03.000;;;;;32;3
32;2023-07-01;12.00;liter;Peternakan Sendiri;2023-07-01 05:08:41.000;2023-07-01 05:08:41.000;;;;;18;3
33;2023-06-30;17.00;liter;Peternakan Sendiri;2023-07-01 05:10:02.000;2023-07-01 05:10:02.000;;;;;18;3
34;2023-06-29;15.00;liter;Peternakan Sendiri;2023-07-01 05:11:01.000;2023-07-01 05:11:01.000;;;;;18;3
35;2023-07-02;15.00;liter;Peternakan Sendiri;2023-07-04 02:08:12.000;2023-07-04 02:08:12.000;;;;;18;3
36;2023-07-03;15.50;liter;Peternakan Sendiri;2023-07-04 02:09:09.000;2023-07-04 02:09:09.000;;;;;18;3
37;2023-07-04;15.00;liter;Peternakan Sendiri;2023-07-04 02:09:49.000;2023-07-04 02:09:49.000;;;;;18;3
38;2023-07-03;10.00;liter;Peternakan Sendiri;2023-07-04 10:22:08.000;2023-07-04 10:22:08.000;;;;;12;3
39;2023-07-03;15.00;liter;Peternakan Lain;2023-07-04 10:22:32.000;2023-07-04 10:22:32.000;;;;;12;4
40;2023-07-04;15.00;liter;Peternakan Sendiri;2023-07-04 15:33:29.000;2023-07-04 15:33:29.000;;;;;4;3
41;2023-07-05;630.00;liter;Peternakan Lain;2023-07-05 01:06:26.000;2023-07-05 01:06:26.000;;;;;18;3
42;2023-07-02;550.00;liter;Peternakan Lain;2023-07-05 02:44:27.000;2023-07-05 02:44:27.000;;;;;18;3
43;2023-07-07;10.00;liter;Peternakan Sendiri;2023-07-07 13:38:55.000;2023-07-07 13:38:55.000;;;;;12;3
44;2023-07-07;7.00;kg;Peternakan Sendiri;2023-07-07 13:40:21.000;2023-07-07 13:40:21.000;;;;;12;7
45;2023-07-07;15.00;liter;Peternakan Sendiri;2023-07-07 13:41:37.000;2023-07-07 13:41:37.000;;;;;12;4
46;2023-07-07;10.00;liter;Peternakan Lain;2023-07-07 13:58:36.000;2023-07-07 13:58:36.000;;;;;4;3
47;2023-07-07;5.00;liter;Peternakan Sendiri;2023-07-07 14:00:22.000;2023-07-07 14:00:22.000;;;;;4;5
48;2023-07-18;15.00;liter;Peternakan Sendiri;2023-07-18 15:01:42.000;2023-07-18 15:01:42.000;;;;;12;3
49;2023-07-18;5.00;kg;Peternakan Lain;2023-07-18 15:02:28.000;2023-07-18 15:02:28.000;;;;;12;6
50;2023-07-18;20.00;liter;Peternakan Sendiri;2023-07-18 15:07:56.000;2023-07-18 15:07:56.000;;;;;4;3
51;2023-07-18;10.00;kg;Peternakan Lain;2023-07-18 15:08:10.000;2023-07-18 15:08:10.000;;;;;4;6
52;2023-07-21;15.00;liter;Peternakan Sendiri;2023-07-21 14:39:48.000;2023-07-21 14:39:48.000;;;;;12;4
53;2023-07-21;5.00;liter;Peternakan Lain;2023-07-21 14:40:10.000;2023-07-21 14:40:10.000;;;;;12;5
54;2023-07-21;10.00;liter;Peternakan Sendiri;2023-07-21 14:44:34.000;2023-07-21 14:44:34.000;;;;;4;3
55;2023-07-21;20.00;liter;Peternakan Sendiri;2023-07-21 14:44:49.000;2023-07-21 14:44:49.000;;;;;4;4
56;2023-07-25;5.00;liter;Peternakan Sendiri;2023-07-29 11:35:53.000;2023-07-29 11:35:53.000;;;;;12;3
57;2023-07-29;20.00;liter;Peternakan Lain;2023-07-29 11:36:02.000;2023-07-29 11:36:02.000;;;;;12;5
58;2023-07-28;5.00;kg;Peternakan Sendiri;2023-07-29 11:37:05.000;2023-07-29 11:37:05.000;;;;;12;6
59;2023-07-28;15.00;liter;Peternakan Lain;2023-07-29 11:37:17.000;2023-07-29 11:37:17.000;;;;;12;4
60;2023-07-25;10.00;liter;Peternakan Lain;2023-07-29 11:55:14.000;2023-07-29 11:55:14.000;;;;;4;3
61;2023-07-25;5.00;liter;Peternakan Sendiri;2023-07-29 11:55:26.000;2023-07-29 11:55:26.000;;;;;4;5
62;2023-07-28;10.00;kg;Peternakan Sendiri;2023-07-29 11:55:37.000;2023-07-29 11:55:37.000;;;;;4;7
63;2023-07-29;5.00;liter;Peternakan Sendiri;2023-07-29 11:55:47.000;2023-07-29 11:55:47.000;;;;;4;3
64;2023-07-01;10.00;liter;Peternakan Sendiri;2023-08-02 10:03:42.000;2023-08-02 10:03:42.000;;;;;32;3
65;2023-07-02;9.00;liter;Peternakan Sendiri;2023-08-02 10:07:17.000;2023-08-02 10:07:17.000;;;;;32;3
66;2023-07-03;8.00;liter;Peternakan Sendiri;2023-08-04 03:11:47.000;2023-08-04 03:11:47.000;;;;;32;3
67;2023-07-04;8.00;liter;Peternakan Sendiri;2023-08-04 03:12:18.000;2023-08-04 03:12:18.000;;;;;32;3
68;2023-07-05;10.00;liter;Peternakan Sendiri;2023-08-04 03:36:47.000;2023-08-04 03:36:47.000;;;;;32;4
69;2023-08-01;15.00;liter;Peternakan Sendiri;2023-08-04 12:35:19.000;2023-08-04 12:35:19.000;;;;;12;3
70;2023-08-01;10.00;liter;Peternakan Lain;2023-08-04 12:35:40.000;2023-08-04 12:35:40.000;;;;;12;4
71;2023-08-04;10.00;kg;Peternakan Lain;2023-08-04 12:36:02.000;2023-08-04 12:36:02.000;;;;;12;6
72;2023-08-04;20.00;liter;Peternakan Sendiri;2023-08-04 12:36:11.000;2023-08-04 12:36:11.000;;;;;12;5
73;2023-08-01;15.00;liter;Peternakan Lain;2023-08-04 12:43:21.000;2023-08-04 12:43:21.000;;;;;4;3
74;2023-08-01;25.00;liter;Peternakan Sendiri;2023-08-04 12:43:32.000;2023-08-04 12:43:32.000;;;;;4;4
75;2023-08-04;15.00;kg;Peternakan Lain;2023-08-04 12:43:49.000;2023-08-04 12:43:49.000;;;;;4;7
76;2023-08-04;10.00;liter;Peternakan Sendiri;2023-08-04 12:43:56.000;2023-08-04 12:43:56.000;;;;;4;5
77;2023-08-08;15.00;liter;Peternakan Sendiri;2023-08-12 11:44:12.000;2023-08-12 11:44:12.000;;;;;12;3
78;2023-08-08;15.00;liter;Peternakan Lain;2023-08-12 11:44:25.000;2023-08-12 11:44:25.000;;;;;12;5
79;2023-08-11;5.00;kg;Peternakan Sendiri;2023-08-12 11:44:40.000;2023-08-12 11:44:40.000;;;;;12;7
80;2023-08-11;10.00;kg;Peternakan Lain;2023-08-12 11:44:55.000;2023-08-12 11:44:55.000;;;;;12;6
81;2023-08-08;15.00;liter;Peternakan Sendiri;2023-08-12 11:53:17.000;2023-08-12 11:53:17.000;;;;;4;3
82;2023-08-08;20.00;liter;Peternakan Lain;2023-08-12 11:53:38.000;2023-08-12 11:53:38.000;;;;;4;5
83;2023-08-11;20.00;liter;Peternakan Sendiri;2023-08-12 11:53:59.000;2023-08-12 11:53:59.000;;;;;4;4
84;2023-08-11;15.00;liter;Peternakan Sendiri;2023-08-12 11:54:07.000;2023-08-12 11:54:07.000;;;;;4;4
85;2023-08-15;15.00;liter;Peternakan Sendiri;2023-08-19 11:24:49.000;2023-08-19 11:24:49.000;;;;;12;3
86;2023-08-15;20.00;liter;Peternakan Lain;2023-08-19 11:25:00.000;2023-08-19 11:25:00.000;;;;;12;3
87;2023-08-18;25.00;liter;Peternakan Sendiri;2023-08-19 11:25:10.000;2023-08-19 11:25:10.000;;;;;12;5
88;2023-08-18;5.00;liter;Pengepul;2023-08-19 11:25:21.000;2023-08-19 11:25:21.000;;;;;12;4
89;2023-08-15;10.00;liter;Peternakan Sendiri;2023-08-19 11:31:25.000;2023-08-19 11:31:25.000;;;;;4;4
90;2023-08-15;5.00;liter;Peternakan Sendiri;2023-08-19 11:31:37.000;2023-08-19 11:31:37.000;;;;;4;5
91;2023-08-18;25.00;liter;Peternakan Sendiri;2023-08-19 11:31:48.000;2023-08-19 11:31:48.000;;;;;4;3
92;2023-08-18;30.00;liter;Peternakan Lain;2023-08-19 11:32:01.000;2023-08-19 11:32:01.000;;;;;4;3
93;2023-08-22;15.00;liter;Peternakan Sendiri;2023-08-26 12:11:47.000;2023-08-26 12:11:47.000;;;;;12;3
94;2023-08-22;25.00;liter;Peternakan Sendiri;2023-08-26 12:12:03.000;2023-08-26 12:12:03.000;;;;;12;4
95;2023-08-25;20.00;liter;Peternakan Sendiri;2023-08-26 12:12:19.000;2023-08-26 12:12:19.000;;;;;12;5
96;2023-08-25;10.00;liter;Peternakan Sendiri;2023-08-26 12:12:29.000;2023-08-26 12:12:29.000;;;;;12;3
97;2023-08-22;15.00;liter;Peternakan Sendiri;2023-08-26 12:18:39.000;2023-08-26 12:18:39.000;;;;;4;3
98;2023-08-22;30.00;liter;Peternakan Sendiri;2023-08-26 12:18:51.000;2023-08-26 12:18:51.000;;;;;4;4
99;2023-08-25;15.00;liter;Peternakan Sendiri;2023-08-26 12:19:00.000;2023-08-26 12:19:00.000;;;;;4;5
100;2023-08-25;25.00;liter;Peternakan Sendiri;2023-08-26 12:19:11.000;2023-08-26 12:19:11.000;;;;;4;3
101;2023-08-29;15.00;liter;Peternakan Sendiri;2023-09-02 13:58:18.000;2023-09-02 13:58:18.000;;;;;12;3
102;2023-08-29;25.00;liter;Peternakan Sendiri;2023-09-02 13:58:32.000;2023-09-02 13:58:32.000;;;;;12;4
103;2023-09-01;25.00;liter;Peternakan Sendiri;2023-09-02 13:58:48.000;2023-09-02 13:58:48.000;;;;;12;5
104;2023-09-01;10.00;liter;Peternakan Sendiri;2023-09-02 13:58:57.000;2023-09-02 13:58:57.000;;;;;12;4
105;2023-08-29;5.00;liter;Peternakan Sendiri;2023-09-02 14:03:09.000;2023-09-02 14:03:09.000;;;;;4;3
106;2023-08-29;25.00;liter;Peternakan Sendiri;2023-09-02 14:03:20.000;2023-09-02 14:03:20.000;;;;;4;4
107;2023-09-01;15.00;liter;Peternakan Sendiri;2023-09-02 14:03:28.000;2023-09-02 14:03:28.000;;;;;4;5
108;2023-09-01;15.00;liter;Peternakan Sendiri;2023-09-02 14:03:38.000;2023-09-02 14:03:38.000;;;;;4;3
109;2023-09-05;15.00;liter;Peternakan Sendiri;2023-09-09 12:04:56.000;2023-09-09 12:04:56.000;;;;;12;3
110;2023-09-05;20.00;liter;Peternakan Sendiri;2023-09-09 12:05:05.000;2023-09-09 12:05:05.000;;;;;12;4
111;2023-09-08;25.00;liter;Peternakan Sendiri;2023-09-09 12:07:48.000;2023-09-09 12:07:48.000;;;;;12;3
112;2023-09-08;30.00;liter;Peternakan Sendiri;2023-09-09 12:07:57.000;2023-09-09 12:07:57.000;;;;;12;5
113;2023-09-05;35.00;liter;Peternakan Sendiri;2023-09-09 13:03:16.000;2023-09-09 13:03:16.000;;;;;4;3
114;2023-09-05;20.00;liter;Peternakan Sendiri;2023-09-09 13:03:29.000;2023-09-09 13:03:29.000;;;;;4;6
115;2023-09-08;25.00;kg;Peternakan Sendiri;2023-09-09 13:03:42.000;2023-09-09 13:03:42.000;;;;;4;7
116;2023-09-08;15.00;liter;Peternakan Sendiri;2023-09-09 13:03:52.000;2023-09-09 13:03:52.000;;;;;4;5
117;2023-09-12;35.00;liter;Peternakan Sendiri;2023-09-16 11:19:07.000;2023-09-16 11:19:07.000;;;;;12;4
118;2023-09-12;15.00;liter;Peternakan Lain;2023-09-16 11:19:19.000;2023-09-16 11:19:19.000;;;;;12;3
119;2023-09-15;25.00;liter;Pengepul;2023-09-16 11:19:31.000;2023-09-16 11:19:31.000;;;;;12;5
120;2023-09-15;20.00;liter;Peternakan Sendiri;2023-09-16 11:19:41.000;2023-09-16 11:19:41.000;;;;;12;3
121;2023-09-12;20.00;liter;Peternakan Sendiri;2023-09-16 11:26:00.000;2023-09-16 11:26:00.000;;;;;4;3
122;2023-09-12;15.00;kg;Peternakan Sendiri;2023-09-16 11:26:14.000;2023-09-16 11:26:14.000;;;;;4;7
123;2023-09-15;25.00;liter;Pengepul;2023-09-16 11:26:30.000;2023-09-16 11:26:30.000;;;;;4;6
124;2023-09-15;10.00;liter;Peternakan Sendiri;2023-09-16 11:26:46.000;2023-09-16 11:26:46.000;;;;;4;4
125;2023-09-19;15.00;liter;Peternakan Sendiri;2023-09-23 14:09:52.000;2023-09-23 14:09:52.000;;;;;12;3
126;2023-09-19;25.00;liter;Peternakan Sendiri;2023-09-23 14:10:02.000;2023-09-23 14:10:02.000;;;;;12;4
127;2023-09-22;20.00;liter;Peternakan Sendiri;2023-09-23 14:10:12.000;2023-09-23 14:10:12.000;;;;;12;5
128;2023-09-22;15.00;liter;Peternakan Sendiri;2023-09-23 14:10:22.000;2023-09-23 14:10:22.000;;;;;12;3
129;2023-09-19;25.00;liter;Peternakan Sendiri;2023-09-23 14:16:02.000;2023-09-23 14:16:02.000;;;;;4;3
130;2023-09-19;25.00;kg;Peternakan Sendiri;2023-09-23 14:16:18.000;2023-09-23 14:16:18.000;;;;;4;7
131;2023-09-22;15.00;liter;Peternakan Sendiri;2023-09-23 14:16:31.000;2023-09-23 14:16:31.000;;;;;4;3
132;2023-09-22;20.00;liter;Peternakan Sendiri;2023-09-23 14:16:40.000;2023-09-23 14:16:40.000;;;;;4;4
133;2023-09-26;25.00;liter;Peternakan Sendiri;2023-09-30 08:41:24.000;2023-09-30 08:41:24.000;;;;;12;3
134;2023-09-26;15.00;liter;Peternakan Sendiri;2023-09-30 08:41:34.000;2023-09-30 08:41:34.000;;;;;12;4
135;2023-09-29;30.00;liter;Peternakan Sendiri;2023-09-30 08:41:45.000;2023-09-30 08:41:45.000;;;;;12;5
136;2023-09-29;25.00;liter;Peternakan Sendiri;2023-09-30 08:41:57.000;2023-09-30 08:41:57.000;;;;;12;4
137;2023-09-26;20.00;liter;Peternakan Sendiri;2023-09-30 09:13:17.000;2023-09-30 09:13:17.000;;;;;4;3
138;2023-09-26;25.00;liter;Peternakan Sendiri;2023-09-30 09:13:26.000;2023-09-30 09:13:26.000;;;;;4;4
139;2023-09-29;20.00;liter;Peternakan Sendiri;2023-09-30 09:13:38.000;2023-09-30 09:13:38.000;;;;;4;3
140;2023-09-29;18.00;liter;Pengepul;2023-09-30 09:13:53.000;2023-09-30 09:13:53.000;;;;;4;6
141;2023-10-03;15.00;liter;Peternakan Sendiri;2023-10-07 16:56:20.000;2023-10-07 16:56:20.000;;;;;12;3
142;2023-10-03;20.00;liter;Peternakan Sendiri;2023-10-07 16:56:33.000;2023-10-07 16:56:33.000;;;;;12;3
143;2023-10-06;15.00;liter;Peternakan Sendiri;2023-10-07 16:57:07.000;2023-10-07 16:57:07.000;;;;;12;3
144;2023-10-03;20.00;liter;Peternakan Sendiri;2023-10-07 17:03:02.000;2023-10-07 17:03:02.000;;;;;4;4
145;2023-10-03;25.00;liter;Peternakan Sendiri;2023-10-07 17:03:14.000;2023-10-07 17:03:14.000;;;;;4;4
146;2023-10-06;15.00;liter;Peternakan Sendiri;2023-10-07 17:03:26.000;2023-10-07 17:03:26.000;;;;;4;4
147;2023-10-06;20.00;liter;Peternakan Sendiri;2023-10-07 17:03:34.000;2023-10-07 17:03:34.000;;;;;4;4
148;2023-10-10;20.00;liter;Peternakan Sendiri;2023-10-14 14:20:08.000;2023-10-14 14:20:08.000;;;;;12;5
149;2023-10-10;15.00;liter;Peternakan Sendiri;2023-10-14 14:20:46.000;2023-10-14 14:20:46.000;;;;;12;5
150;2023-10-13;5.00;liter;Peternakan Sendiri;2023-10-14 14:21:01.000;2023-10-14 14:21:01.000;;;;;12;6
151;2023-10-13;20.00;liter;Peternakan Sendiri;2023-10-14 14:21:08.000;2023-10-14 14:21:08.000;;;;;12;4
152;2023-10-10;15.00;liter;Peternakan Sendiri;2023-10-14 15:16:03.000;2023-10-14 15:16:03.000;;;;;4;3
153;2023-10-10;25.00;liter;Peternakan Sendiri;2023-10-14 15:16:10.000;2023-10-14 15:16:10.000;;;;;4;3
154;2023-10-13;15.00;liter;Peternakan Sendiri;2023-10-14 15:16:17.000;2023-10-14 15:16:17.000;;;;;4;4
155;2023-10-13;20.00;liter;Peternakan Sendiri;2023-10-14 15:16:25.000;2023-10-14 15:16:25.000;;;;;4;5
156;2023-10-17;20.00;liter;Peternakan Sendiri;2023-10-21 11:45:33.000;2023-10-21 11:45:33.000;;;;;12;4
