'id','tgl_produksi','jumlah','satuan','sumber_pasokan','created_at','updated_at','deleted_at','created_by','updated_by','deleted_by','id_unit_ternak','id_jenis_produk'
1,2023-02-18,5.00,ekor,Peternakan Sendiri,2023-02-19 16:08:20.000,2023-02-19 16:08:20.000,NULL,NULL,NULL,NULL,12,1
2,2023-02-18,4.00,ekor,Pengepul,2023-02-20 00:39:12.000,2023-02-20 00:39:12.000,NULL,NULL,NULL,NULL,15,1
3,2023-02-19,15.00,kg,Peternakan Sendiri,2023-02-20 00:39:52.000,2023-02-20 00:39:52.000,NULL,NULL,NULL,NULL,15,2
4,2023-02-19,4.00,ekor,Pengepul,2023-02-20 00:40:38.000,2023-02-20 00:40:38.000,NULL,NULL,NULL,NULL,15,1
5,2023-02-18,15.00,kg,Peternakan Sendiri,2023-02-20 00:41:03.000,2023-02-20 00:41:03.000,NULL,NULL,NULL,NULL,15,2
6,2023-02-20,15.00,kg,Peternakan Sendiri,2023-02-20 01:16:33.000,2023-02-20 01:16:33.000,NULL,NULL,NULL,NULL,4,1
7,2023-02-20,2.00,ekor,Peternakan Sendiri,2023-02-20 01:16:44.000,2023-02-20 01:16:44.000,NULL,NULL,NULL,NULL,4,2
8,2023-02-18,2.00,ekor,Pengepul,2023-02-20 01:49:36.000,2023-02-20 01:49:36.000,NULL,NULL,NULL,NULL,14,1
9,2023-02-20,2.00,ekor,Peternakan Sendiri,2023-02-20 01:50:29.000,2023-02-20 01:50:29.000,NULL,NULL,NULL,NULL,14,1
11,2023-02-19,10.00,kg,Peternakan Lain,2023-02-20 01:52:19.000,2023-02-20 01:52:19.000,NULL,NULL,NULL,NULL,14,2
12,2023-02-21,5.00,ekor,Peternakan Sendiri,2023-02-21 15:49:12.000,2023-02-21 15:49:12.000,NULL,NULL,NULL,NULL,12,1
14,2023-03-29,1.00,ekor,Peternakan Sendiri,2023-03-28 22:46:47.000,2023-03-28 22:46:47.000,NULL,NULL,NULL,NULL,1,1
15,2023-04-04,2.00,ekor,Peternakan Sendiri,2023-04-03 22:05:16.000,2023-04-03 22:05:16.000,NULL,NULL,NULL,NULL,4,1
16,2023-05-07,15.00,kg,Peternakan Sendiri,2023-05-07 03:02:45.000,2023-05-07 03:02:45.000,NULL,NULL,NULL,NULL,4,1
13,2023-02-21,20.00,kg,Peternakan Lain,2023-02-21 15:49:35.000,2023-02-21 15:49:35.000,NULL,NULL,NULL,NULL,4,2
10,2023-02-18,2.00,ekor,Peternakan Sendiri,2023-02-20 01:51:03.000,2023-02-20 01:51:03.000,NULL,NULL,NULL,NULL,4,1
17,2023-06-16,12.00,ekor,Peternakan Sendiri,2023-06-16 15:09:02.000,2023-06-16 15:09:02.000,NULL,NULL,NULL,NULL,32,1
18,2023-06-30,25.00,ekor,Peternakan Sendiri,2023-07-01 05:12:43.000,2023-07-01 05:12:43.000,NULL,NULL,NULL,NULL,18,1
19,2023-07-01,1.00,ekor,Peternakan Sendiri,2023-07-04 02:22:52.000,2023-07-04 02:22:52.000,NULL,NULL,NULL,NULL,18,2
20,2023-07-30,5.00,ekor,Peternakan Sendiri,2023-07-30 01:32:16.000,2023-07-30 01:32:16.000,NULL,NULL,NULL,NULL,4,2
